Kode;Nama Kereta;Kode Kereta;Stasiun Asal;Kode Stasiun Asal;Stasiun Tujuan;KodeStasiunTujuan;Kelas;Jenis Rangkaian;Kode Kelas;Jam Berangkat;Jam Sampai;Durasi (menit);Harga (Rp);Jumlah Stasiun Pemberhentian
74B-PSE-JNG-CC;FAJAR UTAMA SOLO;74B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Stainless Steel;CC;05:40;05:50;10;340.000;0
74B-PSE-JNG-AC;FAJAR UTAMA SOLO;74B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;New Generation Stainless Steel;AC;05:40;05:50;10;450.000;0
114C-PSE-JNG-CA;SAWUNGGALIH;114C;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Modifikasi;CA;06:30;06:40;10;150.000;0
114C-PSE-JNG-AA;SAWUNGGALIH;114C;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif New Generation Mild Steel;AA;06:30;06:40;10;230.000;0
178B-PSE-JNG-CA;TAWANG JAYA PREMIUM;178B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Modifikasi Mild Steel;CA;06:45;06:56;11;175.000;0
178B-PSE-JNG-AA;TAWANG JAYA PREMIUM;178B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Premium Modifikasi Mild Steel;AA;06:45;06:56;11;310.000;0
106B-PSE-JNG-CC;GAJAHWONG;106B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Stainless Steel;CC;07:55;08:05;10;280.000;0
106B-PSE-JNG-AC;GAJAHWONG;106B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;New Generation Stainless Steel;AC;07:55;08:05;10;415.000;0
166-PSE-JNG-CC;DHARMAWANGSA EKSPRES;166;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Modifikasi Mild Steel;CC;08:10;08:19;9;225.000;0
166-PSE-JNG-AC;DHARMAWANGSA EKSPRES;166;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif Mild Steel;AC;08:10;08:19;9;345.000;0
282-PSE-JNG-C;BENGAWAN;282;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Mild Steel PSO;C;08:55;09:06;11;70.000;0
256B-PSE-JNG-CC;JAKA TINGKIR;256B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Ekonomi Modifikasi;CC;11:50;12:00;10;340.000;0
146-PSE-JNG-CD;BLAMBANGAN EKSPRES;146;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Stainless Steel;CD;12:10;12:21;11;120.000;0
146-PSE-JNG-AC;BLAMBANGAN EKSPRES;146;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif New Generation Stainless Steel;AC;12:10;12:21;11;165.000;0
162-PSE-JNG-CC;BANGUNKARTA;162;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Modifikasi Mild Steel;CC;12:25;12:35;10;235.000;0
162-PSE-JNG-AC;BANGUNKARTA;162;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif Mild Steel;AC;12:25;12:35;10;355.000;0
176B-PSE-JNG-CA;MENOREH;176B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Modifikasi;CA;13:35;13:44;9;175.000;0
176B-PSE-JNG-AA;MENOREH;176B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;New Generation Modifikasi;AA;13:35;13:44;9;310.000;0
254B-PSE-JNG-CC;KERTAJAYA;254B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Stainless Steel;CC;14:30;14:40;10;205.000;0
7040-PSE-JNG-AA;KA TAMBAHAN PSE LPN;7040;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif Mild Steel;AA;15:25;15:35;10;330.000;0
252B-PSE-JNG-CC;JAYAKARTA;252B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Stainless Steel;CC;17:10;17:20;10;260.000;0
104B-PSE-JNG-AC;BOGOWONTO;104B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;New Generation Stainless Steel;AC;18:10;18:20;10;435.000;0
104B-PSE-JNG-CC;BOGOWONTO;104B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Stainless Steel;CC;18:10;18:20;10;300.000;0
76B-PSE-JNG-CC;MATARAM;76B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Modifikasi Mild Steel;CC;21:40;21:49;9;340.000;0
76B-PSE-JNG-AC;MATARAM;76B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif Mild Steel;AC;21:40;21:49;9;450.000;0
92-PSE-JNG-CC;JAYABAYA;92;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Modifikasi;CC;22:15;22:25;10;290.000;0
92-PSE-JNG-AC;JAYABAYA;92;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif Mild Steel;AC;22:15;22:25;10;410.000;0
258B-PSE-JNG-CA;PROGO;258B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Stainless Steel;CA;23:20;23:30;10;265.000;0
74B-PSE-JNG-CD;FAJAR UTAMA SOLO;74B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Stainless Steel;CD;05:40;05:50;10;340.000;0
74B-PSE-JNG-CA;FAJAR UTAMA SOLO;74B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Stainless Steel;CA;05:40;05:50;10;340.000;0
74B-PSE-JNG-CB;FAJAR UTAMA SOLO;74B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Stainless Steel;CB;05:40;05:50;10;340.000;0
74B-PSE-JNG-AA;FAJAR UTAMA SOLO;74B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;New Generation Stainless Steel;AA;05:40;05:50;10;450.000;0
74B-PSE-JNG-AB;FAJAR UTAMA SOLO;74B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;New Generation Stainless Steel;AB;05:40;05:50;10;450.000;0
74B-PSE-JNG-AD;FAJAR UTAMA SOLO;74B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;New Generation Stainless Steel;AD;05:40;05:50;10;450.000;0
114C-PSE-JNG-CD;SAWUNGGALIH;114C;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Modifikasi;CD;06:30;06:40;10;175.000;0
114C-PSE-JNG-CC;SAWUNGGALIH;114C;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Modifikasi;CC;06:30;06:40;10;170.000;0
114C-PSE-JNG-CB;SAWUNGGALIH;114C;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Modifikasi;CB;06:30;06:40;10;160.000;0
114C-PSE-JNG-AD;SAWUNGGALIH;114C;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif New Generation Mild Steel;AD;06:30;06:40;10;280.000;0
114C-PSE-JNG-AC;SAWUNGGALIH;114C;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif New Generation Mild Steel;AC;06:30;06:40;10;255.000;0
114C-PSE-JNG-AB;SAWUNGGALIH;114C;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif New Generation Mild Steel;AB;06:30;06:40;10;240.000;0
178B-PSE-JNG-CB;TAWANG JAYA PREMIUM;178B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Modifikasi Mild Steel;CB;06:45;06:56;11;180.000;0
178B-PSE-JNG-CC;TAWANG JAYA PREMIUM;178B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Modifikasi Mild Steel;CC;06:45;06:56;11;195.000;0
178B-PSE-JNG-CD;TAWANG JAYA PREMIUM;178B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Modifikasi Mild Steel;CD;06:45;06:56;11;210.000;0
178B-PSE-JNG-AB;TAWANG JAYA PREMIUM;178B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Premium Modifikasi Mild Steel;AB;06:45;06:56;11;325.000;0
178B-PSE-JNG-AC;TAWANG JAYA PREMIUM;178B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Premium Modifikasi Mild Steel;AC;06:45;06:56;11;340.000;0
178B-PSE-JNG-AD;TAWANG JAYA PREMIUM;178B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Premium Modifikasi Mild Steel;AD;06:45;06:56;11;390.000;0
106B-PSE-JNG-AD;GAJAHWONG;106B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;New Generation Stainless Steel;AD;07:55;08:05;10;415.000;0
106B-PSE-JNG-CB;GAJAHWONG;106B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Stainless Steel;CB;07:55;08:05;10;280.000;0
106B-PSE-JNG-CD;GAJAHWONG;106B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Stainless Steel;CD;07:55;08:05;10;280.000;0
106B-PSE-JNG-CA;GAJAHWONG;106B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Stainless Steel;CA;07:55;08:05;10;280.000;0
106B-PSE-JNG-AA;GAJAHWONG;106B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;New Generation Stainless Steel;AA;07:55;08:05;10;415.000;0
106B-PSE-JNG-AB;GAJAHWONG;106B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;New Generation Stainless Steel;AB;07:55;08:05;10;415.000;0
166-PSE-JNG-CD;DHARMAWANGSA EKSPRES;166;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Modifikasi Mild Steel;CD;08:10;08:19;9;235.000;0
166-PSE-JNG-CB;DHARMAWANGSA EKSPRES;166;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Modifikasi Mild Steel;CB;08:10;08:19;9;210.000;0
166-PSE-JNG-CA;DHARMAWANGSA EKSPRES;166;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Modifikasi Mild Steel;CA;08:10;08:19;9;195.000;0
166-PSE-JNG-AD;DHARMAWANGSA EKSPRES;166;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif Mild Steel;AD;08:10;08:19;9;360.000;0
166-PSE-JNG-AB;DHARMAWANGSA EKSPRES;166;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif Mild Steel;AB;08:10;08:19;9;330.000;0
166-PSE-JNG-AA;DHARMAWANGSA EKSPRES;166;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif Mild Steel;AA;08:10;08:19;9;315.000;0
256B-PSE-JNG-CD;JAKA TINGKIR;256B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Ekonomi Modifikasi;CD;11:50;12:00;10;340.000;0
256B-PSE-JNG-CA;JAKA TINGKIR;256B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Ekonomi Modifikasi;CA;11:50;12:00;10;340.000;0
256B-PSE-JNG-CB;JAKA TINGKIR;256B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Ekonomi Modifikasi;CB;11:50;12:00;10;340.000;0
146-PSE-JNG-CC;BLAMBANGAN EKSPRES;146;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Stainless Steel;CC;12:10;12:21;11;110.000;0
146-PSE-JNG-CB;BLAMBANGAN EKSPRES;146;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Stainless Steel;CB;12:10;12:21;11;105.000;0
146-PSE-JNG-CA;BLAMBANGAN EKSPRES;146;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Stainless Steel;CA;12:10;12:21;11;105.000;0
146-PSE-JNG-AD;BLAMBANGAN EKSPRES;146;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif New Generation Stainless Steel;AD;12:10;12:21;11;170.000;0
146-PSE-JNG-AB;BLAMBANGAN EKSPRES;146;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif New Generation Stainless Steel;AB;12:10;12:21;11;160.000;0
146-PSE-JNG-AA;BLAMBANGAN EKSPRES;146;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif New Generation Stainless Steel;AA;12:10;12:21;11;155.000;0
162-PSE-JNG-AA;BANGUNKARTA;162;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif Mild Steel;AA;12:25;12:35;10;355.000;0
162-PSE-JNG-CD;BANGUNKARTA;162;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Modifikasi Mild Steel;CD;12:25;12:35;10;235.000;0
162-PSE-JNG-CB;BANGUNKARTA;162;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Modifikasi Mild Steel;CB;12:25;12:35;10;235.000;0
162-PSE-JNG-CA;BANGUNKARTA;162;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Modifikasi Mild Steel;CA;12:25;12:35;10;235.000;0
162-PSE-JNG-AD;BANGUNKARTA;162;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif Mild Steel;AD;12:25;12:35;10;355.000;0
162-PSE-JNG-AB;BANGUNKARTA;162;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif Mild Steel;AB;12:25;12:35;10;355.000;0
176B-PSE-JNG-AC;MENOREH;176B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;New Generation Modifikasi;AC;13:35;13:44;9;340.000;0
176B-PSE-JNG-AD;MENOREH;176B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;New Generation Modifikasi;AD;13:35;13:44;9;390.000;0
176B-PSE-JNG-CB;MENOREH;176B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Modifikasi;CB;13:35;13:44;9;180.000;0
176B-PSE-JNG-CC;MENOREH;176B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Modifikasi;CC;13:35;13:44;9;195.000;0
176B-PSE-JNG-CD;MENOREH;176B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Modifikasi;CD;13:35;13:44;9;210.000;0
176B-PSE-JNG-AB;MENOREH;176B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;New Generation Modifikasi;AB;13:35;13:44;9;325.000;0
254B-PSE-JNG-CA;KERTAJAYA;254B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Stainless Steel;CA;14:30;14:40;10;190.000;0
254B-PSE-JNG-CB;KERTAJAYA;254B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Stainless Steel;CB;14:30;14:40;10;195.000;0
254B-PSE-JNG-CD;KERTAJAYA;254B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Stainless Steel;CD;14:30;14:40;10;225.000;0
7040-PSE-JNG-AB;KA TAMBAHAN PSE LPN;7040;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif Mild Steel;AB;15:25;15:35;10;340.000;0
7040-PSE-JNG-AC;KA TAMBAHAN PSE LPN;7040;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif Mild Steel;AC;15:25;15:35;10;375.000;0
7040-PSE-JNG-AD;KA TAMBAHAN PSE LPN;7040;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif Mild Steel;AD;15:25;15:35;10;415.000;0
252B-PSE-JNG-CA;JAYAKARTA;252B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Stainless Steel;CA;17:10;17:20;10;260.000;0
252B-PSE-JNG-CD;JAYAKARTA;252B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Stainless Steel;CD;17:10;17:20;10;260.000;0
252B-PSE-JNG-CB;JAYAKARTA;252B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Stainless Steel;CB;17:10;17:20;10;260.000;0
104B-PSE-JNG-AB;BOGOWONTO;104B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;New Generation Stainless Steel;AB;18:10;18:20;10;435.000;0
104B-PSE-JNG-CA;BOGOWONTO;104B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Stainless Steel;CA;18:10;18:20;10;300.000;0
104B-PSE-JNG-AD;BOGOWONTO;104B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;New Generation Stainless Steel;AD;18:10;18:20;10;435.000;0
104B-PSE-JNG-AA;BOGOWONTO;104B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;New Generation Stainless Steel;AA;18:10;18:20;10;435.000;0
104B-PSE-JNG-CB;BOGOWONTO;104B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Stainless Steel;CB;18:10;18:20;10;300.000;0
104B-PSE-JNG-CD;BOGOWONTO;104B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Stainless Steel;CD;18:10;18:20;10;300.000;0
76B-PSE-JNG-CA;MATARAM;76B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Modifikasi Mild Steel;CA;21:40;21:49;9;340.000;0
76B-PSE-JNG-CB;MATARAM;76B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Modifikasi Mild Steel;CB;21:40;21:49;9;340.000;0
76B-PSE-JNG-AA;MATARAM;76B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif Mild Steel;AA;21:40;21:49;9;450.000;0
76B-PSE-JNG-AB;MATARAM;76B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif Mild Steel;AB;21:40;21:49;9;450.000;0
76B-PSE-JNG-CD;MATARAM;76B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;Premium Modifikasi Mild Steel;CD;21:40;21:49;9;340.000;0
76B-PSE-JNG-AD;MATARAM;76B;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif Mild Steel;AD;21:40;21:49;9;450.000;0
92-PSE-JNG-CD;JAYABAYA;92;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Modifikasi;CD;22:15;22:25;10;300.000;0
92-PSE-JNG-CB;JAYABAYA;92;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Modifikasi;CB;22:15;22:25;10;270.000;0
92-PSE-JNG-CA;JAYABAYA;92;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Modifikasi;CA;22:15;22:25;10;260.000;0
92-PSE-JNG-AD;JAYABAYA;92;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif Mild Steel;AD;22:15;22:25;10;420.000;0
92-PSE-JNG-AB;JAYABAYA;92;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif Mild Steel;AB;22:15;22:25;10;390.000;0
92-PSE-JNG-AA;JAYABAYA;92;PASARSENEN;PSE;JATINEGARA;JNG;Eksekutif;Eksekutif Mild Steel;AA;22:15;22:25;10;380.000;0
258B-PSE-JNG-CC;PROGO;258B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Stainless Steel;CC;23:20;23:30;10;265.000;0
258B-PSE-JNG-CD;PROGO;258B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Stainless Steel;CD;23:20;23:30;10;265.000;0
258B-PSE-JNG-CB;PROGO;258B;PASARSENEN;PSE;JATINEGARA;JNG;Ekonomi;New Generation Stainless Steel;CB;23:20;23:30;10;265.000;0
74B-PSE-BKS-CC;FAJAR UTAMA SOLO;74B;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;New Generation Stainless Steel;CC;05:40;06:03;23;340.000;1
74B-PSE-BKS-AC;FAJAR UTAMA SOLO;74B;PASARSENEN;PSE;BEKASI;BKS;Eksekutif;New Generation Stainless Steel;AC;05:40;06:03;23;450.000;1
114C-PSE-BKS-CA;SAWUNGGALIH;114C;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;New Generation Modifikasi;CA;06:30;06:54;24;150.000;1
114C-PSE-BKS-AA;SAWUNGGALIH;114C;PASARSENEN;PSE;BEKASI;BKS;Eksekutif;Eksekutif New Generation Mild Steel;AA;06:30;06:54;24;230.000;1
178B-PSE-BKS-CA;TAWANG JAYA PREMIUM;178B;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;Premium Modifikasi Mild Steel;CA;06:45;07:10;25;175.000;1
178B-PSE-BKS-AA;TAWANG JAYA PREMIUM;178B;PASARSENEN;PSE;BEKASI;BKS;Eksekutif;Premium Modifikasi Mild Steel;AA;06:45;07:10;25;310.000;1
110B-PSE-BKS-CC;FAJAR UTAMA YK;110B;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;New Generation Stainless Steel;CC;07:35;07:59;24;280.000;0
110B-PSE-BKS-AC;FAJAR UTAMA YK;110B;PASARSENEN;PSE;BEKASI;BKS;Eksekutif;New Generation Stainless Steel;AC;07:35;07:59;24;435.000;0
106B-PSE-BKS-CC;GAJAHWONG;106B;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;Premium Stainless Steel;CC;07:55;08:21;26;280.000;1
106B-PSE-BKS-AC;GAJAHWONG;106B;PASARSENEN;PSE;BEKASI;BKS;Eksekutif;New Generation Stainless Steel;AC;07:55;08:21;26;415.000;1
166-PSE-BKS-CC;DHARMAWANGSA EKSPRES;166;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;Premium Modifikasi Mild Steel;CC;08:10;08:33;23;225.000;1
166-PSE-BKS-AC;DHARMAWANGSA EKSPRES;166;PASARSENEN;PSE;BEKASI;BKS;Eksekutif;Eksekutif Mild Steel;AC;08:10;08:33;23;345.000;1
282-PSE-BKS-C;BENGAWAN;282;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;Mild Steel PSO;C;08:55;09:20;25;70.000;1
272-PSE-BKS-C;AIRLANGGA;272;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;Mild Steel PSO;C;09:15;09:37;22;49.000;0
284B-PSE-BKS-C;SERAYU;284B;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;Mild Steel PSO;C;09:30;09:53;23;63.000;0
204-PSE-BKS-CA;TEGAL BAHARI;204;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;New Generation Modifikasi;CA;10:40;11:01;21;165.000;0
204-PSE-BKS-AA;TEGAL BAHARI;204;PASARSENEN;PSE;BEKASI;BKS;Eksekutif;Eksekutif Mild Steel;AA;10:40;11:01;21;210.000;0
90-PSE-BKS-CC;GAYA BARU MALAM SELATAN;90;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;Premium Modifikasi Mild Steel;CC;11:10;11:32;22;280.000;0
90-PSE-BKS-AC;GAYA BARU MALAM SELATAN;90;PASARSENEN;PSE;BEKASI;BKS;Eksekutif;Eksekutif Mild Steel;AC;11:10;11:32;22;370.000;0
270-PSE-BKS-CC;MATARMAJA;270;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;Mild Steel PSO;CC;11:25;11:46;21;225.000;0
146-PSE-BKS-CD;BLAMBANGAN EKSPRES;146;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;New Generation Stainless Steel;CD;12:10;12:36;26;120.000;1
146-PSE-BKS-AC;BLAMBANGAN EKSPRES;146;PASARSENEN;PSE;BEKASI;BKS;Eksekutif;Eksekutif New Generation Stainless Steel;AC;12:10;12:36;26;165.000;1
112B-PSE-BKS-AA;SAWUNGGALIH;112B;PASARSENEN;PSE;BEKASI;BKS;Eksekutif;Eksekutif New Generation Mild Steel;AA;13:15;13:36;21;230.000;0
112B-PSE-BKS-CA;SAWUNGGALIH;112B;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;New Generation Modifikasi;CA;13:15;13:36;21;150.000;0
176B-PSE-BKS-CA;MENOREH;176B;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;New Generation Modifikasi;CA;13:35;13:58;23;175.000;1
176B-PSE-BKS-AA;MENOREH;176B;PASARSENEN;PSE;BEKASI;BKS;Eksekutif;New Generation Modifikasi;AA;13:35;13:58;23;310.000;1
152-PSE-BKS-CC;BRANTAS;152;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;Premium Modifikasi Mild Steel;CC;14:10;14:32;22;225.000;0
152-PSE-BKS-AC;BRANTAS;152;PASARSENEN;PSE;BEKASI;BKS;Eksekutif;Eksekutif Mild Steel;AC;14:10;14:32;22;345.000;0
254B-PSE-BKS-CC;KERTAJAYA;254B;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;Premium Stainless Steel;CC;14:30;14:54;24;205.000;1
7040-PSE-BKS-AA;KA TAMBAHAN PSE LPN;7040;PASARSENEN;PSE;BEKASI;BKS;Eksekutif;Eksekutif Mild Steel;AA;15:25;15:50;25;330.000;1
252B-PSE-BKS-CC;JAYAKARTA;252B;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;Premium Stainless Steel;CC;17:10;17:33;23;260.000;1
300-PSE-BKS-C;CIKURAY;300;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;Mild Steel PSO;C;17:20;17:43;23;45.000;0
246B-PSE-BKS-CC;MAJAPAHIT;246B;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;New Generation Stainless Steel;CC;17:40;18:02;22;225.000;0
104B-PSE-BKS-AC;BOGOWONTO;104B;PASARSENEN;PSE;BEKASI;BKS;Eksekutif;New Generation Stainless Steel;AC;18:10;18:34;24;435.000;1
104B-PSE-BKS-CC;BOGOWONTO;104B;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;Premium Stainless Steel;CC;18:10;18:34;24;300.000;1
260B-PSE-BKS-CC;TAWANG JAYA;260B;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;Premium Mild Steel;CC;18:25;18:45;20;195.000;0
108B-PSE-BKS-CC;SENJA UTAMA YK;108B;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;New Generation Stainless Steel;CC;19:00;19:21;21;280.000;0
108B-PSE-BKS-AC;SENJA UTAMA YK;108B;PASARSENEN;PSE;BEKASI;BKS;Eksekutif;New Generation Stainless Steel;AC;19:00;19:21;21;435.000;0
288-PSE-BKS-C;SERAYU;288;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;Mild Steel PSO;C;19:25;19:47;22;63.000;0
116B-PSE-BKS-AA;SAWUNGGALIH;116B;PASARSENEN;PSE;BEKASI;BKS;Eksekutif;Eksekutif New Generation Mild Steel;AA;20:10;20:30;20;230.000;0
116B-PSE-BKS-CA;SAWUNGGALIH;116B;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;New Generation Modifikasi;CA;20:10;20:30;20;150.000;0
144B-PSE-BKS-AA;MADIUN JAYA;144B;PASARSENEN;PSE;BEKASI;BKS;Eksekutif;Eksekutif New Generation Modifikasi Mild Steel;AA;21:10;21:31;21;360.000;0
144B-PSE-BKS-CA;MADIUN JAYA;144B;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;Premium Modifikasi Mild Steel;CA;21:10;21:31;21;250.000;0
164A-PSE-BKS-CA;GUMARANG;164A;PASARSENEN;PSE;BEKASI;BKS;Ekonomi;Premium Modifikasi Mild Steel;CA;21:30;21:53;23;340.000;0
164A-PSE-BKS-AA;GUMARANG;164A;PASARSENEN;PSE;BEKASI;BKS;Eksekutif;Eksekutif Mild Steel;AA;21:30;21:53;23;510.000;0
